"site_date","island","site","landing_site","ext_worker","date","worked_y.n","reason_not_fishing","other_reason","surface_gillnet","panha","purse_seine","surface_gillnet_seine","demersal_gillnet","beach_seine","spear_fishing","hook_line","hook_line_shore","deviceid","meta.instanceID","meta.instanceName","database","duplicates"
"PC_AB190816","PC","AB","abade","judiciley","16/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190816","PC","AN","agua-namoro","jailson","16/08/2019","nao-pesca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190816","PC","BU","burras","herlanda","16/08/2019","nao-pesca","mal-tempo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190816","PC","CA","campanha","vitorino","16/08/2019","nao-pesca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190816","PC","CO","concom","abilio","16/08/2019","nao-pesca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190816","PC","LA","lapa","nelo","16/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190816","PC","RI","ribeira-ize","jose-gomes","16/08/2019","nao-pesca","nao-combustvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190816","PC","SA","santo-antonio",NA,"16/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190816","PC","SE","seca",NA,"16/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190816","PC","SJ","sao-joao","diolinda","16/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190816","PC","UN","unitel","sedeley","16/08/2019","nao-pesca","nao-combustvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AB190820","PC","AB","abade","judiciley","20/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190820","PC","AN","agua-namoro","jailson","20/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190820","PC","BU","burras",NA,"20/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190820","PC","CA","campanha","vitorino","20/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190820","PC","CO","concom","abilio","20/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190820","PC","LA","lapa",NA,"20/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190820","PC","RI","ribeira-ize","jose-gomes","20/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190820","PC","SA","santo-antonio",NA,"20/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190820","PC","SE","seca",NA,"20/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190820","PC","SJ","sao-joao",NA,"20/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190820","PC","UN","unitel","sedeley","20/08/2019","pessoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AB190823","PC","AB","abade","judiciley","23/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190823","PC","AN","agua-namoro","jailson","23/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190823","PC","BU","burras",NA,"23/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190823","PC","CA","campanha","vitorino","23/08/2019","nao-pesca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190823","PC","CO","concom","abilio","23/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190823","PC","LA","lapa","nelo","23/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190823","PC","RI","ribeira-ize","jose-gomes","23/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190823","PC","SA","santo-antonio","marlene","23/08/2019","nao-pesca","mal-tempo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190823","PC","SE","seca",NA,"23/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190823","PC","SJ","sao-joao","diolinda","23/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190823","PC","UN","unitel","sedeley","23/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AB190827","PC","AB","abade","judiciley","27/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190827","PC","AN","agua-namoro","jailson","27/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190827","PC","BU","burras","herlanda","27/08/2019","nao-pesca","nao-combustvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190827","PC","CA","campanha","vitorino","27/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190827","PC","CO","concom","abilio","27/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190827","PC","LA","lapa","nelo","27/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190827","PC","RI","ribeira-ize","jose-gomes","27/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190827","PC","SA","santo-antonio","marlene","27/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190827","PC","SE","seca",NA,"27/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190827","PC","SJ","sao-joao","diolinda","27/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190827","PC","UN","unitel","sedeley","27/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AB190830","PC","AB","abade","judiciley","30/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190830","PC","AN","agua-namoro","jailson","30/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190830","PC","BU","burras","herlanda","30/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190830","PC","CA","campanha","vitorino","30/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190830","PC","CO","concom","abilio","30/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190830","PC","LA","lapa",NA,"30/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190830","PC","RI","ribeira-ize",NA,"30/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190830","PC","SA","santo-antonio","marlene","30/08/2019","nao-pesca","nao-combustvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190830","PC","SE","seca",NA,"30/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190830","PC","SJ","sao-joao","diolinda","30/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190830","PC","UN","unitel",NA,"30/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AB190903","PC","AB","abade","judiciley","03/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190903","PC","AN","agua-namoro","jailson","03/09/2019","nao-pesca","nao-combustvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190903","PC","BU","burras","herlanda","03/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190903","PC","CA","campanha","vitorino","03/09/2019","nao-pesca","nao-combustvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190903","PC","CO","concom","abilio","03/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190903","PC","LA","lapa","nelo","03/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190903","PC","RI","ribeira-ize","jose-gomes","03/09/2019","nao-pesca","nao-combustvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190903","PC","SA","santo-antonio","marlene","03/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190903","PC","SE","seca",NA,"03/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190903","PC","SJ","sao-joao","diolinda","03/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190903","PC","UN","unitel","sedeley","03/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"352317101356188_id",NA,NA,"PC_191225_NV_000000",1
"PC_AB190906","PC","AB","abade","judiciley","06/09/2019","nao-pesca","nao-combustvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190906","PC","AN","agua-namoro","jailson","06/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190906","PC","BU","burras","herlanda","06/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190906","PC","CA","campanha","vitorino","06/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190906","PC","CO","concom","abilio","06/09/2019","nao-pesca","nao-combustvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190906","PC","LA","lapa","nelo","06/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190906","PC","RI","ribeira-ize","jose-gomes","06/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190906","PC","SA","santo-antonio","marlene","06/09/2019","nao-pesca","nao-combustvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190906","PC","SE","seca",NA,"06/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190906","PC","SJ","sao-joao","diolinda","06/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190906","PC","UN","unitel","sedeley","06/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"352317101356188_id",NA,NA,"PC_191225_NV_000000",1
"PC_AB190910","PC","AB","abade","judiciley","10/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190910","PC","AN","agua-namoro","jailson","10/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190910","PC","BU","burras","herlanda","10/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190910","PC","CA","campanha","vitorino","10/09/2019","nao-pesca","mal-tempo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190910","PC","CO","concom","sedeley","10/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190910","PC","LA","lapa","nelo","10/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190910","PC","RI","ribeira-ize","jose-gomes","10/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190910","PC","SA","santo-antonio","marlene","10/09/2019","nao-pesca","nao-combustvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190910","PC","SE","seca",NA,"10/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190910","PC","SJ","sao-joao","diolinda","10/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190910","PC","UN","unitel","sedeley","10/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"352317101356188_id",NA,NA,"PC_191225_NV_000000",1
"PC_AB190913","PC","AB","abade","judiciley","13/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190913","PC","AN","agua-namoro","jailson","13/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190913","PC","BU","burras","herlanda","13/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190913","PC","CA","campanha","vitorino","13/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190913","PC","CO","concom","abilio","13/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190913","PC","LA","lapa","nelo","13/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190913","PC","RI","ribeira-ize","jose-gomes","13/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190913","PC","SA","santo-antonio",NA,"13/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190913","PC","SE","seca",NA,"13/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190913","PC","SJ","sao-joao","diolinda","13/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190913","PC","UN","unitel","sedeley","13/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"352317101356188_id",NA,NA,"PC_191225_NV_000000",1
"PC_AB190917","PC","AB","abade","judiciley","17/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190917","PC","AN","agua-namoro",NA,"17/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190917","PC","BU","burras","herlanda","17/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190917","PC","CA","campanha","vitorino","17/09/2019","nao-pesca","mal-tempo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190917","PC","CO","concom","abilio","17/09/2019","nao-pesca","mal-tempo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190917","PC","LA","lapa","nelo","17/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190917","PC","RI","ribeira-ize","jose-gomes","17/09/2019","nao-pesca","mal-tempo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190917","PC","SA","santo-antonio","marlene","17/09/2019","nao-pesca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190917","PC","SE","seca",NA,"17/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190917","PC","SJ","sao-joao","diolinda","17/09/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190917","PC","UN","unitel",NA,"17/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"ST_AG190917","ST","AG","angolares",NA,"17/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST_200112_NV_000000",1
"ST_AT190917","ST","AT","angra-toldo",NA,"17/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST_200112_NV_000000",1
"ST_IG190917","ST","IG","io-grande",NA,"17/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST_200112_NV_000000",1
"ST_MA190917","ST","MA","malanza",NA,"17/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST_200112_NV_000000",1
